"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"235/55/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"245/35/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"245/40/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"245/45/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"245/50/20","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/35/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"255/40/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"255/45/20","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/50/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"255/55/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"265/30/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"265/45/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"265/50/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/30/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/35/20","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/40/20","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
