"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"205/70/15 C","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"215/65/15","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"215/70/15","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"215/70/15 С","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"225/70/15 С","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"235/75/15","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"265/70/15","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"195/45/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"195/55/16","7875","7350","5775","6300","5250","4200","4200","3675","3675","7350","6300","4200","6300","4725","3150","4200","3675","1680","5250","4200","3150","4200","3675","2625","3150","1680","1050"
"205/45/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"205/50/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"205/55/16","7875","7350","5775","6300","5250","4200","4200","3675","3675","7350","6300","4200","6300","4725","3150","4200","3675","1680","5250","4200","3150","4200","3675","2625","3150","1680","1050"
"205/60/16","7875","7350","5775","6300","5250","4200","4200","3675","3675","7350","6300","4200","6300","4725","3150","4200","3675","1680","5250","4200","3150","4200","3675","2625","3150","1680","1050"
"205/65/16","7875","7350","5775","6300","5250","4200","4200","3675","3675","7350","6300","4200","6300","4725","3150","4200","3675","1680","5250","4200","3150","4200","3675","2625","3150","1680","1050"
"205/65/16 C","8925","8400","6825","7350","6300","5250","5250","4725","4200","8400","6825","5250","6825","5775","4200","5250","4725","2625","6300","5250","4200","5250","4200","3150","3675","2625","1680"
"215/45/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"215/55/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"215/60/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
"215/65/16","8400","7875","6300","6825","5775","4725","4725","4200","3675","7875","6825","4725","6825","5250","3675","4725","4200","2100","5775","4725","3675","4725","3675","3150","3150","2100","1050"
